Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
92.0000 -0.1119 -0.1558 0.9200 0.0000 0.0000
93.0000 -0.1079 -0.1558 0.3700 0.0000 0.0000
93.0000 -0.1079 -0.1558 0.6450 0.0000 0.0000
93.0000 -0.1079 -0.1558 0.9200 0.0000 0.0000
94.0000 -0.1038 -0.1558 0.3700 0.0000 0.0000
94.0000 -0.1038 -0.1558 0.6450 0.0000 0.0000
94.0000 -0.1038 -0.1558 0.9200 0.0000 0.0000
95.0000 -0.0997 -0.1558 0.3700 0.0000 0.0000
95.0000 -0.0997 -0.1558 0.6450 0.0000 0.0000
95.0000 -0.0997 -0.1558 0.9200 0.0000 0.0000
96.0000 -0.0957 -0.1558 0.3700 0.0000 0.0000
96.0000 -0.0957 -0.1558 0.6450 0.0000 0.0000
96.0000 -0.0957 -0.1558 0.9200 0.0000 0.0000
97.0000 -0.0916 -0.1558 0.3700 0.0000 0.0000
97.0000 -0.0916 -0.1558 0.6450 18.9351 17.0273
97.0000 -0.0916 -0.1558 0.9200 15.8636 15.4443
98.0000 -0.0875 -0.1558 0.3700 13.8011 13.1549
98.0000 -0.0875 -0.1558 0.6450 19.5728 18.1231
98.0000 -0.0875 -0.1558 0.9200 20.7472 19.6752
99.0000 -0.0834 -0.1558 0.3700 16.3427 15.4218
99.0000 -0.0834 -0.1558 0.6450 19.5206 18.8172
99.0000 -0.0834 -0.1558 0.9200 19.9769 19.8749
100.0000 -0.0794 -0.1558 0.3700 16.0199 15.7524
100.0000 -0.0794 -0.1558 0.6450 18.0234 18.4356
100.0000 -0.0794 -0.1558 0.9200 19.8334 20.7320
101.0000 -0.0753 -0.1558 0.3700 17.8874 17.8149
101.0000 -0.0753 -0.1558 0.6450 18.7866 19.9237
101.0000 -0.0753 -0.1558 0.9200 18.8358 20.7487
102.0000 -0.0712 -0.1558 0.3700 17.3233 18.2866
102.0000 -0.0712 -0.1558 0.6450 17.8804 19.9979
102.0000 -0.0712 -0.1558 0.9200 18.0925 20.9161
103.0000 -0.0672 -0.1558 0.3700 16.6943 18.5700
103.0000 -0.0672 -0.1558 0.6450 16.4648 19.4645
103.0000 -0.0672 -0.1558 0.9200 17.4773 21.2421
