Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
78.0000 -0.1216 -0.0495 0.6450 18.4259 4.4812
78.0000 -0.1216 -0.0495 0.9200 18.4488 5.4511
79.0000 -0.1216 -0.0452 0.3700 18.3132 1.9266
79.0000 -0.1216 -0.0452 0.6450 18.3041 3.7926
79.0000 -0.1216 -0.0452 0.9200 18.3265 4.7700
80.0000 -0.1216 -0.0409 0.3700 18.1939 1.2045
80.0000 -0.1216 -0.0409 0.6450 18.1832 3.0980
80.0000 -0.1216 -0.0409 0.9200 18.2050 4.0833
81.0000 -0.1216 -0.0366 0.3700 18.0732 0.4759
81.0000 -0.1216 -0.0366 0.6450 18.0629 2.3974
81.0000 -0.1216 -0.0366 0.9200 18.0842 3.3907
82.0000 -0.1216 -0.0323 0.3700 17.9535 -0.2596
82.0000 -0.1216 -0.0323 0.6450 17.9434 1.6905
82.0000 -0.1216 -0.0323 0.9200 17.9641 2.6921
83.0000 -0.1216 -0.0280 0.3700 17.8345 -1.0021
83.0000 -0.1216 -0.0280 0.6450 17.8244 0.9773
83.0000 -0.1216 -0.0280 0.9200 17.8447 1.9874
84.0000 -0.1216 -0.0237 0.3700 17.7161 -1.7518
84.0000 -0.1216 -0.0237 0.6450 17.7061 0.2575
84.0000 -0.1216 -0.0237 0.9200 17.7259 1.2763
85.0000 -0.1216 -0.0194 0.3700 17.5983 -2.5090
85.0000 -0.1216 -0.0194 0.6450 17.5884 -0.4691
85.0000 -0.1216 -0.0194 0.9200 17.6078 0.5587
86.0000 -0.1216 -0.0151 0.3700 17.4810 -3.2738
86.0000 -0.1216 -0.0151 0.6450 17.4713 -1.2027
86.0000 -0.1216 -0.0151 0.9200 17.4903 -0.1657
87.0000 -0.1216 -0.0108 0.3700 17.3642 -4.0466
87.0000 -0.1216 -0.0108 0.6450 17.3548 -1.9435
87.0000 -0.1216 -0.0108 0.9200 17.3735 -0.8969
88.0000 -0.1216 -0.0065 0.3700 17.2479 -4.8275
88.0000 -0.1216 -0.0065 0.6450 17.2389 -2.6917
88.0000 -0.1216 -0.0065 0.9200 17.2574 -1.6354
89.0000 -0.1216 -0.0022 0.3700 17.1320 -5.6169
89.0000 -0.1216 -0.0022 0.6450 17.1236 -3.4476
89.0000 -0.1216 -0.0022 0.9200 17.1419 -2.3812
90.0000 -0.1216 0.0022 0.3700 17.0166 -6.4149
90.0000 -0.1216 0.0022 0.6450 17.0089 -4.2114
90.0000 -0.1216 0.0022 0.9200 17.0272 -3.1347
91.0000 -0.1216 0.0065 0.3700 16.9015 -7.2219
91.0000 -0.1216 0.0065 0.6450 16.8948 -4.9834
91.0000 -0.1216 0.0065 0.9200 16.9130 -3.8961
92.0000 -0.1216 0.0108 0.3700 16.7868 -8.0382
92.0000 -0.1216 0.0108 0.6450 16.7812 -5.7638
92.0000 -0.1216 0.0108 0.9200 16.7996 -4.6656
93.0000 -0.1216 0.0151 0.3700 16.6724 -8.8641
93.0000 -0.1216 0.0151 0.6450 16.6683 -6.5530
93.0000 -0.1216 0.0151 0.9200 16.6867 -5.4437
94.0000 -0.1216 0.0194 0.3700 16.5584 -9.6999
94.0000 -0.1216 0.0194 0.6450 16.5558 -7.3513
94.0000 -0.1216 0.0194 0.9200 16.5745 -6.2304
95.0000 -0.1216 0.0237 0.3700 16.4447 -10.5461
95.0000 -0.1216 0.0237 0.6450 16.4439 -8.1589
95.0000 -0.1216 0.0237 0.9200 16.4629 -7.0263
96.0000 -0.1216 0.0280 0.3700 16.3313 -11.4029
96.0000 -0.1216 0.0280 0.6450 16.3325 -8.9763
96.0000 -0.1216 0.0280 0.9200 16.3518 -7.8315
97.0000 -0.1216 0.0323 0.3700 16.2182 -12.2708
97.0000 -0.1216 0.0323 0.6450 16.2215 -9.8037
97.0000 -0.1216 0.0323 0.9200 16.2413 -8.6465
98.0000 -0.1216 0.0366 0.3700 16.1054 -13.1504
98.0000 -0.1216 0.0366 0.6450 16.1110 -10.6415
98.0000 -0.1216 0.0366 0.9200 16.1314 -9.4715
99.0000 -0.1216 0.0409 0.3700 15.9930 -14.0421
99.0000 -0.1216 0.0409 0.6450 16.0010 -11.4902
99.0000 -0.1216 0.0409 0.9200 16.0220 -10.3071
100.0000 -0.1216 0.0452 0.3700 15.8796 -14.9446
100.0000 -0.1216 0.0452 0.6450 15.8914 -12.3503
100.0000 -0.1216 0.0452 0.9200 15.9131 -11.1536
101.0000 -0.1216 0.0495 0.3700 15.7741 -15.8676
101.0000 -0.1216 0.0495 0.6450 15.7824 -13.2222
101.0000 -0.1216 0.0495 0.9200 15.8048 -12.0115
102.0000 -0.1216 0.0538 0.3700 15.6765 -16.8132
102.0000 -0.1216 0.0538 0.6450 15.6729 -14.1055
102.0000 -0.1216 0.0538 0.9200 15.6972 -12.8814
103.0000 -0.1216 0.0581 0.3700 15.5867 -17.7847
103.0000 -0.1216 0.0581 0.6450 15.5635 -15.0007
103.0000 -0.1216 0.0581 0.9200 15.5890 -13.7624
104.0000 -0.1216 0.0624 0.3700 15.5232 -18.8090
104.0000 -0.1216 0.0624 0.6450 15.4591 -15.9111
104.0000 -0.1216 0.0624 0.9200 15.4788 -14.6532
105.0000 -0.1216 0.0667 0.3700 0.0000 0.0000
105.0000 -0.1216 0.0667 0.6450 15.3565 -16.8372
105.0000 -0.1216 0.0667 0.9200 15.3719 -15.5588
106.0000 -0.1216 0.0710 0.3700 0.0000 0.0000
106.0000 -0.1216 0.0710 0.6450 15.2633 -17.7907
106.0000 -0.1216 0.0710 0.9200 15.2681 -16.4792
107.0000 -0.1216 0.0753 0.3700 0.0000 0.0000
107.0000 -0.1216 0.0753 0.6450 15.1867 -18.7777
107.0000 -0.1216 0.0753 0.9200 15.1691 -17.4186
108.0000 -0.1216 0.0796 0.3700 0.0000 0.0000
108.0000 -0.1216 0.0796 0.6450 0.0000 0.0000
108.0000 -0.1216 0.0796 0.9200 15.0835 -18.3888
109.0000 -0.1216 0.0839 0.3700 0.0000 0.0000
109.0000 -0.1216 0.0839 0.6450 0.0000 0.0000
109.0000 -0.1216 0.0839 0.9200 0.0000 0.0000
110.0000 -0.1216 0.0882 0.3700 0.0000 0.0000
110.0000 -0.1216 0.0882 0.6450 0.0000 0.0000
110.0000 -0.1216 0.0882 0.9200 0.0000 0.0000
111.0000 -0.1216 0.0925 0.3700 0.0000 0.0000
111.0000 -0.1216 0.0925 0.6450 0.0000 0.0000
111.0000 -0.1216 0.0925 0.9200 0.0000 0.0000
112.0000 -0.1216 0.0968 0.3700 0.0000 0.0000
112.0000 -0.1216 0.0968 0.6450 0.0000 0.0000
112.0000 -0.1216 0.0968 0.9200 0.0000 0.0000
113.0000 -0.1216 0.1011 0.3700 0.0000 0.0000
113.0000 -0.1216 0.1011 0.6450 0.0000 0.0000
113.0000 -0.1216 0.1011 0.9200 0.0000 0.0000
114.0000 -0.1216 0.1054 0.3700 0.0000 0.0000
114.0000 -0.1216 0.1054 0.6450 0.0000 0.0000
114.0000 -0.1216 0.1054 0.9200 0.0000 0.0000
115.0000 -0.1216 0.1097 0.3700 0.0000 0.0000
115.0000 -0.1216 0.1097 0.6450 0.0000 0.0000
115.0000 -0.1216 0.1097 0.9200 0.0000 0.0000
116.0000 -0.1216 0.1140 0.3700 0.0000 0.0000
116.0000 -0.1216 0.1140 0.6450 0.0000 0.0000
116.0000 -0.1216 0.1140 0.9200 0.0000 0.0000
117.0000 -0.1216 0.1183 0.3700 0.0000 0.0000
117.0000 -0.1216 0.1183 0.6450 0.0000 0.0000
117.0000 -0.1216 0.1183 0.9200 0.0000 0.0000
118.0000 -0.1216 0.1226 0.3700 0.0000 0.0000
118.0000 -0.1216 0.1226 0.6450 0.0000 0.0000
118.0000 -0.1216 0.1226 0.9200 0.0000 0.0000
119.0000 -0.1216 0.1269 0.3700 0.0000 0.0000
119.0000 -0.1216 0.1269 0.6450 0.0000 0.0000
119.0000 -0.1216 0.1269 0.9200 0.0000 0.0000
120.0000 -0.1216 0.1312 0.3700 0.0000 0.0000
120.0000 -0.1216 0.1312 0.6450 0.0000 0.0000
120.0000 -0.1216 0.1312 0.9200 0.0000 0.0000
121.0000 -0.1178 -0.1247 0.3700 0.0000 0.0000
121.0000 -0.1178 -0.1247 0.6450 0.0000 0.0000
121.0000 -0.1178 -0.1247 0.9200 0.0000 0.0000
122.0000 -0.1178 -0.1204 0.3700 0.0000 0.0000
122.0000 -0.1178 -0.1204 0.6450 0.0000 0.0000
122.0000 -0.1178 -0.1204 0.9200 0.0000 0.0000
123.0000 -0.1178 -0.1161 0.3700 0.0000 0.0000
123.0000 -0.1178 -0.1161 0.6450 0.0000 0.0000
123.0000 -0.1178 -0.1161 0.9200 0.0000 0.0000
124.0000 -0.1178 -0.1118 0.3700 0.0000 0.0000
124.0000 -0.1178 -0.1118 0.6450 0.0000 0.0000
124.0000 -0.1178 -0.1118 0.9200 0.0000 0.0000
125.0000 -0.1178 -0.1075 0.3700 0.0000 0.0000
125.0000 -0.1178 -0.1075 0.6450 0.0000 0.0000
125.0000 -0.1178 -0.1075 0.9200 0.0000 0.0000
126.0000 -0.1178 -0.1032 0.3700 0.0000 0.0000
126.0000 -0.1178 -0.1032 0.6450 0.0000 0.0000
126.0000 -0.1178 -0.1032 0.9200 0.0000 0.0000
127.0000 -0.1178 -0.0989 0.3700 19.2354 10.6342
127.0000 -0.1178 -0.0989 0.6450 0.0000 0.0000
127.0000 -0.1178 -0.0989 0.9200 0.0000 0.0000
128.0000 -0.1178 -0.0946 0.3700 19.1260 9.9924
128.0000 -0.1178 -0.0946 0.6450 19.1713 11.5897
128.0000 -0.1178 -0.0946 0.9200 19.2123 12.4975
129.0000 -0.1178 -0.0903 0.3700 19.0222 9.3474
129.0000 -0.1178 -0.0903 0.6450 19.0501 10.9613
129.0000 -0.1178 -0.0903 0.9200 19.0886 11.8724
130.0000 -0.1178 -0.0860 0.3700 18.9097 8.6933
130.0000 -0.1178 -0.0860 0.6450 18.9263 10.3243
130.0000 -0.1178 -0.0860 0.9200 18.9667 11.2415
131.0000 -0.1178 -0.0817 0.3700 18.7947 8.0323
131.0000 -0.1178 -0.0817 0.6450 18.8049 9.6831
131.0000 -0.1178 -0.0817 0.9200 18.8407 10.6037
132.0000 -0.1178 -0.0774 0.3700 18.6779 7.3651
132.0000 -0.1178 -0.0774 0.6450 18.6814 9.0357
132.0000 -0.1178 -0.0774 0.9200 18.7126 9.9610
133.0000 -0.1178 -0.0731 0.3700 18.5598 6.6913
133.0000 -0.1178 -0.0731 0.6450 18.5600 8.3841
133.0000 -0.1178 -0.0731 0.9200 18.5847 9.3131
134.0000 -0.1178 -0.0688 0.3700 18.4418 6.0109
134.0000 -0.1178 -0.0688 0.6450 18.4382 7.7271
134.0000 -0.1178 -0.0688 0.9200 18.4614 8.6623
135.0000 -0.1178 -0.0645 0.3700 18.3211 5.3244
135.0000 -0.1178 -0.0645 0.6450 18.3156 7.0646
135.0000 -0.1178 -0.0645 0.9200 18.3398 8.0066
136.0000 -0.1178 -0.0602 0.3700 18.2011 4.6317
136.0000 -0.1178 -0.0602 0.6450 18.1935 6.3967
136.0000 -0.1178 -0.0602 0.9200 18.2162 7.3455
137.0000 -0.1178 -0.0559 0.3700 18.0801 3.9328
137.0000 -0.1178 -0.0559 0.6450 18.0701 5.7231
137.0000 -0.1178 -0.0559 0.9200 18.0922 6.6791
138.0000 -0.1178 -0.0516 0.3700 17.9593 3.2281
138.0000 -0.1178 -0.0516 0.6450 17.9476 5.0442
138.0000 -0.1178 -0.0516 0.9200 17.9692 6.0074
139.0000 -0.1178 -0.0473 0.3700 17.8372 2.5169
139.0000 -0.1178 -0.0473 0.6450 17.8260 4.3597
139.0000 -0.1178 -0.0473 0.9200 17.8469 5.3304
140.0000 -0.1178 -0.0430 0.3700 17.7162 1.7996
140.0000 -0.1178 -0.0430 0.6450 17.7050 3.6694
140.0000 -0.1178 -0.0430 0.9200 17.7253 4.6478
141.0000 -0.1178 -0.0387 0.3700 17.5961 1.0757
141.0000 -0.1178 -0.0387 0.6450 17.5846 2.9732
141.0000 -0.1178 -0.0387 0.9200 17.6043 3.9595
142.0000 -0.1178 -0.0344 0.3700 17.4766 0.3452
142.0000 -0.1178 -0.0344 0.6450 17.4649 2.2710
142.0000 -0.1178 -0.0344 0.9200 17.4840 3.2653
143.0000 -0.1178 -0.0301 0.3700 17.3579 -0.3922
143.0000 -0.1178 -0.0301 0.6450 17.3457 1.5624
143.0000 -0.1178 -0.0301 0.9200 17.3643 2.5652
144.0000 -0.1178 -0.0258 0.3700 17.2396 -1.1366
